"Story","Title","Result","Date","Stability","Duration (s)"
"Login new user","Login Successful","SUCCESS","2021-07-08T18:58:38.5514418-05:00[America/Bogota]","0.0","31.9"
"Register new user","Register Successful","ERROR","2021-07-09T07:34:39.6466693-05:00[America/Bogota]","0.0","14.0"
